Rank,Country,Continent,Region,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,latitude,longitude,Life Expectancy,Population
43,South Korea,Asia,Eastern Asia,130.82,81.3,73.87,83.04,66.95,26.51,39.65,62.42,68.39,35.907757,127.766922,83.69999695,51830136
44,Bosnia And Herzegovina,Europe,Southern Europe,129.37,46.51,57.29,55.26,32.24,10.35,26.22,60.2,80.48,43.915886,17.679076,75.30000305,3270948
45,Bulgaria,Europe,Eastern Europe,128.96,46.9,61.63,56.82,37.58,9.59,29.01,63.84,81.22,42.733883,25.48583,71.80000305,6885864
46,Greece,Europe,Southern Europe,127.08,38.39,52.03,57.24,50.23,12.08,33.68,51.79,93.83,39.074208,21.824312,80.09999847,10445368
47,Mexico,North America,Central America,126.94,41.1,46.1,72.82,35.14,8.25,39.15,58.27,85.52,23.634501,-102.552784,70.19999695,126705136
48,India,Asia,Southern Asia,124.38,76.44,55.43,65.59,23.89,7.44,46.4,73.04,64.73,20.593684,78.96288,67.19999695,1407563904
49,Costa Rica,North America,Central America,122.94,38.59,46.14,62.97,43.65,10,60.19,44.19,99.48,9.748917,-83.753428,77,5153959
50,Uruguay,South America,South America,122.73,28.64,47.87,67.97,59.05,18.08,37.31,44.82,98.04,-32.522779,-55.765835,75.40000153,3426265
51,Malaysia,Asia,South-Eastern Asia,121.63,59.41,45.63,70.14,34.41,8.67,37.22,62.16,57.46,4.210484,101.975766,74.90000153,33573872
52,Serbia,Europe,Southern Europe,120.4,41.56,61.82,52.42,33.35,14.8,31.02,63.29,83.23,44.016521,21.005859,74.19999695,7296771
53,Ecuador,South America,South America,120.34,33.55,42.13,68.89,35.73,11.8,37.88,58.34,94.51,-1.831239,-78.183406,73.69999695,17797736
54,Turkey,Asia,Western Asia,119.53,28.04,60.11,70.7,28.38,11.91,44.01,65.1,90.4,38.963745,35.243322,76,84775408
55,Georgia,Asia,Western Asia,119.15,25.13,74.75,54.49,34.85,12.26,35.59,69.05,88.53,42.315407,43.356892,71.69999695,3757984
56,Kuwait,Asia,Western Asia,118.83,81.76,66.99,58.95,46,11.19,33.37,67.83,20.22,29.31166,47.481766,78.69999695,4250111
57,Tunisia,Africa,Northern Africa,117.33,28.62,56.06,57.26,25.48,11.15,32.51,69.91,94.52,33.886917,9.537499,73.80000305,12262949
58,Panama,North America,Central America,115.3,32.66,56.39,61.06,48.25,11.28,36.66,57.82,67.84,8.537981,-80.782127,76.19999695,4351264
59,Jordan,Asia,Western Asia,113.69,32.23,58.99,64.95,47.53,8.18,41.23,76.21,89.05,30.585164,36.238414,74.30000305,11148288
60,Ukraine,Europe,Eastern Europe,112.06,36.29,53.43,55.22,30.7,11.31,37.87,62.26,70.69,48.379433,31.16558,71.59999847,43531424
61,Argentina,South America,South America,110.14,33.64,35.91,69,32.13,22.81,43.39,50.86,98.28,-38.416097,-63.616672,75.40000153,45276788
62,North Macedonia,Europe,Southern Europe,109.82,35.57,59.03,55.62,28.51,12.75,25.98,79.52,76.3,#N/A,#N/A,73.80000305,2103329
63,Belarus,Europe,Eastern Europe,109.6,32.31,42.82,46.14,26.39,17.45,29.86,44.43,64.37,53.709807,27.953389,72.40000153,9578172
64,Azerbaijan,Asia,Western Asia,108.84,29.36,68.27,46.56,28.33,14.14,39.64,74.01,91.4,40.143105,47.576927,69.40000153,10312992
65,Morocco,Africa,Northern Africa,107.19,32.67,52.63,46.37,29.71,13.16,36.88,69.27,90.04,31.791702,-7.09262,74,37076588
66,Malta,Europe,Southern Europe,106.08,44.8,56.28,38.24,57.71,12.93,30.02,81.08,97.44,35.937496,14.375416,83.80000305,526751
67,Brazil,South America,South America,103.98,27.28,33.21,57.89,34.81,18.48,41.11,53.72,94.92,-14.235004,-51.92528,72.80000305,214326224
68,Hong Kong,Asia,Eastern Asia,103.85,66.93,78.38,66.16,76.55,42.59,42.86,67.16,83.64,22.396428,114.109497,85.5,7494580
69,Russian Federation,Europe,Eastern Europe,103.19,42.22,60.68,59.86,48.07,16.89,44.1,60.83,48.95,61.52401,105.318756,69.40000153,145102752
70,Pakistan,Asia,Southern Asia,103.07,24.45,58.44,59.54,17.78,13.35,38.22,73.67,70.82,30.375321,69.345116,66.09999847,231402112
71,Colombia,South America,South America,102.93,28.27,41.29,67.49,25.23,16.9,47.9,63.12,88.3,4.570868,-74.297333,72.80000305,51516560
72,Chile,South America,South America,102.89,35.79,43.49,64.21,37.16,15.12,35.79,78.3,90.21,-35.675147,-71.542969,78.90000153,19493184
73,Thailand,Asia,South-Eastern Asia,101.85,30.82,61.08,77.57,38.62,21.55,39.07,75.37,69.45,15.870032,100.992541,78.69999695,71601104
74,Lebanon,Asia,Western Asia,97.72,31.98,53.41,62.95,68.53,12.67,38.69,89.5,94.74,33.854721,35.862285,75,5592626
75,Indonesia,Asia,South-Eastern Asia,96.85,25.52,53.94,60.48,32.2,17.81,43.38,67.17,68.96,-0.789275,113.921327,67.59999847,273753184
76,Kazakhstan,Asia,Central Asia,96.56,35.23,46.96,59.89,26.45,9.58,34.73,72.96,39.78,48.019573,66.923684,69.40000153,19196468
77,China,Asia,Eastern Asia,95.55,56.24,71.18,66.7,40.31,38.43,39.51,80.21,79.41,35.86166,104.195397,78.19999695,1425893504
78,Egypt,Africa,Northern Africa,91.19,21.72,53.39,47.41,26.27,11.07,48.29,83.37,90.8,26.820553,30.802498,70.19999695,109262184
79,Kenya,Africa,Eastern Africa,90.94,32.19,43.67,63.44,33.36,26.86,52.13,69.21,99.79,-0.023559,37.906193,61.40000153,53005616
80,Vietnam,Asia,South-Eastern Asia,86.26,28.18,54.24,59.09,35.59,24.05,29.68,85.59,71.24,14.058324,108.277199,73.59999847,97468024
81,Philippines,Asia,South-Eastern Asia,81.4,20.06,57.64,67.71,33.62,29.65,42.88,72.94,61.65,12.879721,121.774017,69.30000305,113880336
82,Peru,South America,South America,81.29,28.52,32.76,55.83,30.74,18.59,49.6,82.4,97.69,-9.189967,-75.015152,72.40000153,33715464
83,Venezuela,South America,South America,73.03,12.72,16.84,39.15,41.77,18.27,33.14,75.65,99.93,6.42375,-66.58973,70.59999847,28199862
84,Iran,Asia,Southern Asia,69.38,18.03,50.25,52.31,36.49,28.62,46.72,75.22,65.69,32.427908,53.688046,73.90000153,87923432
85,Sri Lanka,Asia,Southern Asia,68.9,15.28,59.03,72.02,22.41,44.39,56.89,60.25,59.11,7.873054,80.771797,76.40000153,21773438
86,Bangladesh,Asia,Southern Asia,68.49,25.34,36.94,41.74,29.28,11.87,57.51,85.53,71.29,23.684994,90.356331,72.40000153,169356240
87,Nigeria,Africa,Western Africa,45.13,8.25,35.91,48.49,30.01,22.35,63.39,88.09,60.75,9.081999,8.675277,52.70000076,213401328
